Port Sets,count
17136-33968-33972,977
17136-33968-34222,721
17136-33968-34230,695
17136-33968-33966,684
17136-33968-33974,654
17136-34224-34228,1000
17136-34224-33962,1016
17136-34224-33960,1019
17136-34224-33964,990
17136-34224-34216,1017
17136-34224-34226,1013
17136-34224-33970,997
17136-34224-33972,1009
17136-34224-34222,726
17136-34224-34230,689
17136-34224-33966,708
17136-34224-33974,652
17136-34228-33962,1008
17136-34228-33960,970
17136-34228-33964,963
17136-34228-34216,985
17136-34228-34226,999
17136-34228-33970,971
17136-34228-33972,945
17136-34228-34222,704
17136-34228-34230,691
17136-34228-33966,670
17136-34228-33974,636
17136-33962-33960,1004
17136-33962-33964,989
17136-33962-34216,989
17136-33962-34226,1026
17136-33962-33970,999
17136-33962-33972,972
17136-33962-34222,716
17136-33962-34230,712
17136-33962-33966,720
17136-33962-33974,663
17136-33960-33964,993
17136-33960-34216,990
17136-33960-34226,1026
17136-33960-33970,971
17136-33960-33972,986
17136-33960-34222,722
17136-33960-34230,689
17136-33960-33966,700
17136-33960-33974,657
17136-33964-34216,959
17136-33964-34226,986
17136-33964-33970,983
17136-33964-33972,951
17136-33964-34222,685
17136-33964-34230,686
17136-33964-33966,663
17136-33964-33974,644
17136-34216-34226,997
17136-34216-33970,987
17136-34216-33972,979
17136-34216-34222,696
17136-34216-34230,695
17136-34216-33966,674
17136-34216-33974,655
17136-34226-33970,982
17136-34226-33972,1013
17136-34226-34222,705
17136-34226-34230,695
17136-34226-33966,699
17136-34226-33974,670
17136-33970-33972,962
17136-33970-34222,717
17136-33970-34230,677
17136-33970-33966,673
17136-33970-33974,637
17136-33972-34222,710
17136-33972-34230,685
17136-33972-33966,650
17136-33972-33974,629
17136-34222-34230,495
17136-34222-33966,511
17136-34222-33974,491
17136-34230-33966,520
17136-34230-33974,477
17136-33966-33974,467
23-80-8080,9916
23-80-2323,3039
